"Algorithm","Threads","Write Time (s)","Read Time (s)","File Size (Mb)"
"saveRDS / readRDS",1,4.67694354057312,1.49912905693054,55.199164
"saveRDS / readRDS",4,1.37427067756653,1.04968190193176,55.018594
"fst C=0",1,0.186204671859741,0.287561416625977,121.120902
"fst C=0",4,0.184180974960327,0.286078691482544,121.114259
"fst C=50",1,0.18825626373291,0.299598217010498,92.003768
"fst C=50",4,0.182659864425659,0.296114921569824,92.003468
"fst C=85",1,0.61194896697998,0.371100187301636,70.548916
"fst C=85",4,0.462679386138916,0.332449913024902,70.548098
"qs:lz4 shuffle=0 C=100 (fast)",1,0.195673704147339,0.318866968154907,106.273891
"qs:lz4 shuffle=0 C=100",4,0.161273717880249,0.321675062179565,106.2846
"qs:lz4 shuffle=7 C=1 (balanced)",1,0.262350559234619,0.363414525985718,59.395571
"qs:lz4 shuffle=7 C=1",4,0.193734169006348,0.36549711227417,59.396113
"qs:zstd shuffle=7 C=4 (high)",1,0.39282751083374,0.409420728683472,50.033737
"qs:zstd shuffle=7 C=4",4,0.212003707885742,0.410647630691528,50.034287
"qs:zstd_stream shuffle=7 C=14 (archive)",1,9.16463708877563,0.451780319213867,46.869182
